978-0-323-66130-0,Adolescent Health Screening: an Update in the Age of Big Data
978-0-323-67968-8,Atlas of Wound Healing
978-0-323-65377-0,"Anatomy, Imaging and Surgery of the Intracranial Dural Venous Sinuses"
978-0-323-68127-8,Complications in Male Circumcision
978-0-323-53314-0,Cowell and Tyler's Diagnostic Cytology and Hematology of the Dog and Cat (Fifth Edition)
978-0-12-816962-9,Wildlife Conservation in Africa
978-0-12-811913-6,Protein Modificomics
978-0-12-813635-5,Genome Chaos
978-0-12-813796-3,Chromatin Signaling and Neurological Disorders
978-0-12-814879-2,Epigenetics and Regeneration
978-0-12-817068-7,"Biochemistry of Collagens, Laminins and Elastin (Second Edition)"
978-0-12-809967-4,Self-Assessment Questions for Clinical Molecular Genetics
978-0-08-102599-4,Chemical Engineering Design (Sixth Edition)
978-0-12-815413-7,GIS and Geostatistical Techniques for Groundwater Science
978-0-12-816717-5,Gravity Energy Storage
978-0-12-818648-0,Industrial Process Plant Construction Estimating and Man-Hour Analysis
978-0-12-815227-0,Acoustics (Second Edition)
978-0-08-102401-0,Industry Standard FDSOI Compact Model BSIM-IMG for IC Design
978-0-08-102476-8,Advanced Dental Biomaterials
978-0-12-814501-2,Advanced Micro- and Nanomaterials for Photovoltaics
978-0-12-814835-8,Exposure to Engineered Nanomaterials in the Environment
978-0-12-816115-9,Neuroscience of the Nonconscious Mind
978-0-12-815395-6,Handbook on Animal-Assisted Therapy (Fifth Edition)
978-0-12-818597-1,Proceedings of the 9 International Conference on Foundations of Computer-Aided Process Design
978-0-444-64207-3,Unimolecular Kinetics
978-0-12-811907-5,Molecular Nutrition
978-0-12-816679-6,Safety Issues in Beverage Production
978-0-12-816193-7,"Sports, Exercise, and Nutritional Genomics"
978-0-08-102478-2,Dental Implants and Bone Grafts
978-0-12-814661-3,Principles of Heart Valve Engineering
978-0-12-815657-5,Clinical Simulation (Second Edition)
978-0-12-815015-3,Cardiovascular Implications of Stress and Depression
978-0-12-815375-8,Difficult to Diagnose Rare Diffuse Lung Disease
978-0-12-815876-0,Chronic Renal Disease (Second Edition)
978-0-12-816966-7,"Patent Foramen Ovale Closure for Stroke, Myocardial Infarction, Peripheral Embolism, Migraine, and Hypoxemia"
978-0-12-816911-7,Liquid-Phase Extraction
978-0-08-101094-5,Non-Destructive Testing and Condition Monitoring Techniques for Renewable Energy Industrial Assets
978-0-08-102623-6,Science and Engineering of Short Fibre-Reinforced Polymer Composites
978-0-12-816713-7,DHM and Posturography
978-0-12-817034-2,New Trends in Observer-based Control
978-0-12-819361-7,Sensors for Health Monitoring
978-0-12-803810-9,Natural Water Remediation
978-0-12-818095-2,Abatement of Environmental Pollutants
978-0-12-812454-3,High Power Impulse Magnetron Sputtering
978-0-12-815661-2,"Cerium Oxide (CeO₂): Synthesis, Properties and Applications"
978-0-12-816198-2,High-Performance Elastomeric Materials Reinforced by Nano-Carbons
978-0-12-816813-4,How to Integrate Quality by Efficient Design (QbED) in Product Development
978-0-12-817998-7,Nanomycotoxicology
978-0-12-815312-3,Military Veteran Reintegration
978-0-12-816484-6,Learned Mindfulness
978-0-7020-7786-9,Botulinum Toxin in Facial Rejuvenation (Second Edition)
